"song_id","song_name","song_lyrics_url","song_art_image_url","song_release_date","song_pageviews","song_annotation_count","artist_id","artist_name","artist_url","album_id","album_name","album_url"
3232557,"From the Beginning of Time Until the End of Time","https://genius.com/Uicideboy-from-the-beginning-of-time-until-the-end-of-time-lyrics","https://images.genius.com/6f5069a72573faa1e2291d1c7d597b52.1000x1000x1.jpg","2017-09-11",150710,10,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy",603473,"KILL YOUR$ELF Sagas: XVI - XX","https://genius.com/albums/Uicideboy/Kill-your-elf-sagas-xvi-xx"
3102024,"FUCK","https://genius.com/Uicideboy-fuck-lyrics","https://images.genius.com/6a52a3952f8727a29fb1d210059c8bd5.1000x1000x1.png","2017-05-26",134722,2,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy",603468,"KILL YOUR$ELF $agas: XI - XV","https://genius.com/albums/Uicideboy/Kill-your-elf-agas-xi-xv"
562422,"Fuck a Hoe (Ft. Black Smurf)","https://genius.com/Uicideboy-fuck-a-hoe-lyrics","https://images.genius.com/7ac731c25d35764bde617c381bbff022.500x500x1.jpg","2014-10-08",65821,2,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy",603485,"KILL YOUR$ELF $agas: I - V","https://genius.com/albums/Uicideboy/Kill-your-elf-agas-i-v"
3484218,"FUCKALLOFYOU2K18","https://genius.com/Uicideboy-fuckallofyou2k18-lyrics","https://images.genius.com/30de0a6a38b3f0bcd30743891b701546.1000x1000x1.png","2018-02-01",86751,5,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy",NA,NA,NA
1083826,"Fuck Boy Blood Bath","https://genius.com/Uicideboy-fuck-boy-blood-bath-lyrics","https://images.genius.com/1f1b3dd9ad6b070d02ab6b2689f1dc5b.877x877x1.png","2015-04-15",60929,5,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy",123982,"YUNGDEATHLILLIFE","https://genius.com/albums/Uicideboy/Yungdeathlillife"
5551754,"Fucked Up","https://genius.com/Uicideboy-fucked-up-lyrics","https://images.genius.com/3858815bfd12a53748553d09964fed4c.529x529x1.jpg",NA,NA,1,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy",NA,NA,NA
8238957,"Fucking Your Culture","https://genius.com/Uicideboy-fucking-your-culture-lyrics","https://images.genius.com/74066d77c93b9c4838c3f93298f9dd00.1000x1000x1.png","2022-07-29",80857,24,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy",898161,"Sing Me a Lullaby, My Sweet Temptation","https://genius.com/albums/Uicideboy/Sing-me-a-lullaby-my-sweet-temptation"
3871403,"FUCK the Industry","https://genius.com/Uicideboy-fuck-the-industry-lyrics","https://images.genius.com/54919a5808730abda8ec44a4fbc8a2cb.1000x1000x1.png","2018-09-07",116434,14,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy",421863,"I Want to Die in New Orleans","https://genius.com/albums/Uicideboy/I-want-to-die-in-new-orleans"
2303582,"FUCKTHEPOPULATION","https://genius.com/Uicideboy-fuckthepopulation-lyrics","https://images.genius.com/200740745dcc897f2d9a9a5be05919c3.1000x1000x1.png","2015-09-21",508759,10,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy",131581,"My Liver Will Handle What My Heart Can’t","https://genius.com/albums/Uicideboy/My-liver-will-handle-what-my-heart-can-t"
5111653,"Fuck Your Culture","https://genius.com/Uicideboy-fuck-your-culture-lyrics","https://images.genius.com/d3a33ffdf98cd572880395600d104c36.822x822x1.png","2019-12-20",111103,7,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy",587574,"Stop Staring at the Shadows","https://genius.com/albums/Uicideboy/Stop-staring-at-the-shadows"
1080125,"Gabapentin Getaway","https://genius.com/Uicideboy-gabapentin-getaway-lyrics","https://images.genius.com/f9e8d8a828780834b42141d286716158.999x999x1.png","2015-03-03",45930,3,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy",121668,"Gray/Grey","https://genius.com/albums/Uicideboy/Gray-grey"
1081425,"Gaudy Pack $hawty (Ft. Yung God)","https://genius.com/Uicideboy-gaudy-pack-shawty-lyrics","https://images.genius.com/249a7a10f4a648cb048af972c20cc3c5.500x500x1.jpg","2015-02-18",18932,1,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy",121668,"Gray/Grey","https://genius.com/albums/Uicideboy/Gray-grey"
8238944,"Genesis","https://genius.com/Uicideboy-genesis-lyrics","https://images.genius.com/74066d77c93b9c4838c3f93298f9dd00.1000x1000x1.png","2022-07-29",77947,10,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy",898161,"Sing Me a Lullaby, My Sweet Temptation","https://genius.com/albums/Uicideboy/Sing-me-a-lullaby-my-sweet-temptation"
3232475,"Gloom","https://genius.com/Uicideboy-gloom-lyrics","https://images.genius.com/7eaf1805c6fe8da9b273ed9b74abe294.1000x1000x1.png","2017-09-11",86408,8,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy",603473,"KILL YOUR$ELF Sagas: XVI - XX","https://genius.com/albums/Uicideboy/Kill-your-elf-sagas-xvi-xx"
1787161,"Gloss of Blood","https://genius.com/Uicideboy-gloss-of-blood-lyrics","https://images.genius.com/f7925c57be3901fdfbe603ef2870f5d4.1000x1000x1.png","2015-05-08",282093,7,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy",123982,"YUNGDEATHLILLIFE","https://genius.com/albums/Uicideboy/Yungdeathlillife"
598193,"Gold (’99-2000)","https://genius.com/Uicideboy-gold-99-2000-lyrics","https://images.rapgenius.com/8011797ca973b14e300fe7c9032efcd5.500x500x1.jpg","2014-11-27",24791,2,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy",603490,"KILL YOUR$ELF $agas: VI - X","https://genius.com/albums/Uicideboy/Kill-your-elf-agas-vi-x"
2417281,"Golden Calf (Ft. Eddy Baker & Fat Nick)","https://genius.com/Uicideboy-golden-calf-lyrics","https://images.genius.com/2fc1d062a759a3a7d3523c0caf65e2b8.999x999x1.png","2016-02-03",61079,6,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy",142811,"Dark Side of the Clouds","https://genius.com/albums/Uicideboy/Dark-side-of-the-clouds"
3232556,"Goodbye","https://genius.com/Uicideboy-goodbye-lyrics","https://images.genius.com/6f5069a72573faa1e2291d1c7d597b52.1000x1000x1.jpg","2017-09-11",76589,3,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy",603473,"KILL YOUR$ELF Sagas: XVI - XX","https://genius.com/albums/Uicideboy/Kill-your-elf-sagas-xvi-xx"
2798202,"Goosebumps","https://genius.com/Uicideboy-goosebumps-lyrics","https://images.genius.com/7254b30491968279480acaaa483d817b.640x640x1.jpg","2016-07-22",107588,13,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy",312010,"Radical $uicide","https://genius.com/albums/Uicideboy/Radical-uicide"
2919363,"Gray/Grey (Bonus Album Only Track)","https://genius.com/Uicideboy-gray-grey-bonus-album-only-track-lyrics","https://images.genius.com/f9e8d8a828780834b42141d286716158.999x999x1.png","2015-03-03",30276,2,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy",121668,"Gray/Grey","https://genius.com/albums/Uicideboy/Gray-grey"
