"song_id","song_name","song_lyrics_url","annotation_count","artist_id","artist_name","artist_url"
3871394,"10,000 Degrees","https://genius.com/Uicideboy-10000-degrees-lyrics",22,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
8238968,"1000 Blunts","https://genius.com/Uicideboy-1000-blunts-lyrics",15,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
515529,"100 Blunt$","https://genius.com/Uicideboy-100-blunt-lyrics",3,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
2986264,"100 Blunt$ (DJ Phantazm Remix)","https://genius.com/Uicideboy-100-blunt-dj-phantazm-remix-lyrics",3,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
3871395,"122 Days","https://genius.com/Uicideboy-122-days-lyrics",17,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
725866,"#1 Stunna","https://genius.com/Uicideboy-1-stunna-lyrics",5,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
2856106,"275 $uicide (Ft. Yung Simmie)","https://genius.com/Uicideboy-275-suicide-lyrics",1,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
3101849,"2nd Hand","https://genius.com/Uicideboy-2nd-hand-lyrics",17,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
3158613,"2ND HAND (Demo)","https://genius.com/Uicideboy-2nd-hand-demo-lyrics",2,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
648748,"333333 [RARE* '96 BOOTLEG CA$$ETTE RIP TRE$ $EI$]","https://genius.com/Uicideboy-333333-rare-96-bootleg-ca-ette-rip-tre-sei-lyrics",3,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
1083513,"40 Oz. & Sober","https://genius.com/Uicideboy-40-oz-and-sober-lyrics",6,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
6934409,"5 Grand at 8 to 1","https://genius.com/Uicideboy-5-grand-at-8-to-1-lyrics",3,213444,"$UICIDEBOY$","https://genius.com/artists/Uicideboy"
